index,source,url,title,body,user,upvote,rating,created_at
0,Google Play Ptore,https://play.google.com/store/apps/details?id=in.swiggy.android&hl=en&gl=US,Google Play Review,i am using this app after 3 years.bt access of cash on delivery when i am using this option they are behave like unbeliveable person thank you swiggy i am unstalling thi app right now. very bad experiance.,Saurabh Shinde,0,1,2024-02-27 22:45:44
1,Google Play Ptore,https://play.google.com/store/apps/details?id=in.swiggy.android&hl=en&gl=US,Google Play Review,Sabse ghatiya app hai 1 bar cancellation hone ke baad bhi dubara cancellation charge le rha hai maha chor app guizz aap sab bhi na managaye iss chor app se,Sunny sinchuri,0,1,2024-02-27 22:43:59
2,Google Play Ptore,https://play.google.com/store/apps/details?id=in.swiggy.android&hl=en&gl=US,Google Play Review,Good,Suji Bala,0,5,2024-02-27 22:37:19
3,Google Play Ptore,https://play.google.com/store/apps/details?id=in.swiggy.android&hl=en&gl=US,Google Play Review,Pathetic Service by swiggy. I regret for subscribing swiggy one which is totally a scam to loot money from customers. 45 minutes after ordering my food I contacted customer care as delivery partner was not assigned for that particular order.Someone picked the call and disconnected saying your voice is breaking(the call was crystal clear and obviously the executive was lying).I called again and another rep said there is no one to pick my order.Shame on swiggy as it is happening on a regular basis,Vivek MT,0,1,2024-02-27 22:34:09
4,Google Play Ptore,https://play.google.com/store/apps/details?id=in.swiggy.android&hl=en&gl=US,Google Play Review,Your order delivery time is taking too long...As compare to what is showing at the ordered time. Not good delivery services. ðŸ˜•,Shakarwal Pooja,0,1,2024-02-27 22:33:21
5,Google Play Ptore,https://play.google.com/store/apps/details?id=in.swiggy.android&hl=en&gl=US,Google Play Review,I had ordered my food from swiggy.As the location was not there in their app so i had written it in the additional address The delivery man refused to come to the additional location and said rude things. Very bad experience. Nor did I get the food nor my money was refunded,Nayara Rehman,0,2,2024-02-27 22:30:54
6,Google Play Ptore,https://play.google.com/store/apps/details?id=in.swiggy.android&hl=en&gl=US,Google Play Review,"Very bad experience with swiggy, have ordered ice cream and I have never received the order nor the refund for not rendering the service. Worst customer support ever, they will just close your tickets without providing proper resolution I would like to rate it as 0 star",padma latha,0,1,2024-02-27 22:27:39
7,Google Play Ptore,https://play.google.com/store/apps/details?id=in.swiggy.android&hl=en&gl=US,Google Play Review,Ok,KARTHIK KARTHIK,0,5,2024-02-27 22:26:08
8,Google Play Ptore,https://play.google.com/store/apps/details?id=in.swiggy.android&hl=en&gl=US,Google Play Review,"I request not to use swiggy app for food this farud app app still my amount not refunded if I call to coustomer service they use bad languages, everytime they deliver ur order late only coustomer care is worst support, please be aware of this type off apps",Deeban kumar,0,1,2024-02-27 22:17:34
9,Google Play Ptore,https://play.google.com/store/apps/details?id=in.swiggy.android&hl=en&gl=US,Google Play Review,"If order any item mistakenly and if you want to cancel it. You have to pay 100% whole price of the item , What the heck is this. Just be careful. You do not know when you next order is going to become last order in swiggy",Kapil Sahu,0,1,2024-02-27 22:07:52
10,Google Play Ptore,https://play.google.com/store/apps/details?id=in.swiggy.android&hl=en&gl=US,Google Play Review,"Not keeping time ,even hungry also will be gone",satya B.tech,0,1,2024-02-27 22:03:38
11,Google Play Ptore,https://play.google.com/store/apps/details?id=in.swiggy.android&hl=en&gl=US,Google Play Review,Good service I like him so much to his service,Khan Patan,0,5,2024-02-27 21:58:28
12,Google Play Ptore,https://play.google.com/store/apps/details?id=in.swiggy.android&hl=en&gl=US,Google Play Review,Sab se ghatiya app hai koi order cancel kardiya to refund nahi karta hai is ko download naa kare,Wasim Shaikh,0,1,2024-02-27 21:55:36
13,Google Play Ptore,https://play.google.com/store/apps/details?id=in.swiggy.android&hl=en&gl=US,Google Play Review,7 o'clock booking order 10 o'clock customer care call inform to your delivery cancel.,Nithya V,0,1,2024-02-27 21:53:46
14,Google Play Ptore,https://play.google.com/store/apps/details?id=in.swiggy.android&hl=en&gl=US,Google Play Review,"App and delivery person are too good in swiggy, issue is with customer support, for more than a month, trying to get back my valid refund, but all swiggy executives do is give another time period to wait, that's how I have waited for 35+ days , still not able to get my money back, trying to resolve an issue with swiggy customer support is impossible, they just mentally harass the customer, so what is the benefit of being a member and a customer for so long...",Soumyajyoti J. Banerjee,0,1,2024-02-27 21:51:18
15,Google Play Ptore,https://play.google.com/store/apps/details?id=in.swiggy.android&hl=en&gl=US,Google Play Review,IT WILL TAKE 1:30 HOUR AND THEN SAY FOOD IS NOT READY,Rajat Painuly,0,2,2024-02-27 21:40:04
16,Google Play Ptore,https://play.google.com/store/apps/details?id=in.swiggy.android&hl=en&gl=US,Google Play Review,Very Bad Service,sanket birajdar,0,1,2024-02-27 21:35:22
17,Google Play Ptore,https://play.google.com/store/apps/details?id=in.swiggy.android&hl=en&gl=US,Google Play Review,Worst ever food delivery platform... Don't go for it.... worst experience... looting people.. for some reason I cancelled order... they have deducted the whole amount.. worst customer support,Imran Baig,0,1,2024-02-27 21:33:25
18,Google Play Ptore,https://play.google.com/store/apps/details?id=in.swiggy.android&hl=en&gl=US,Google Play Review,ðŸ˜žðŸ˜ž.. very bad experience..,Rakesh Khanna,0,1,2024-02-27 21:32:47
19,Google Play Ptore,https://play.google.com/store/apps/details?id=in.swiggy.android&hl=en&gl=US,Google Play Review,Eric will 753009,Manoranjan Mohapatra,0,5,2024-02-27 21:30:57
20,Google Play Ptore,https://play.google.com/store/apps/details?id=in.swiggy.android&hl=en&gl=US,Google Play Review,Very bad experience. Swiggy's standard is deteriorating day by day.,Jyoti Rath,0,1,2024-02-27 22:55:00
21,Google Play Ptore,https://play.google.com/store/apps/details?id=in.swiggy.android&hl=en&gl=US,Google Play Review,i am using this app after 3 years.bt access of cash on delivery when i am using this option they are behave like unbeliveable person thank you swiggy i am unstalling thi app right now. very bad experiance.,Saurabh Shinde,0,1,2024-02-27 22:45:44
22,Google Play Ptore,https://play.google.com/store/apps/details?id=in.swiggy.android&hl=en&gl=US,Google Play Review,Sabse ghatiya app hai 1 bar cancellation hone ke baad bhi dubara cancellation charge le rha hai maha chor app guizz aap sab bhi na managaye iss chor app se,Sunny sinchuri,0,1,2024-02-27 22:43:59
23,Google Play Ptore,https://play.google.com/store/apps/details?id=in.swiggy.android&hl=en&gl=US,Google Play Review,Good,Suji Bala,0,5,2024-02-27 22:37:19
24,Google Play Ptore,https://play.google.com/store/apps/details?id=in.swiggy.android&hl=en&gl=US,Google Play Review,Pathetic Service by swiggy. I regret for subscribing swiggy one which is totally a scam to loot money from customers. 45 minutes after ordering my food I contacted customer care as delivery partner was not assigned for that particular order.Someone picked the call and disconnected saying your voice is breaking(the call was crystal clear and obviously the executive was lying).I called again and another rep said there is no one to pick my order.Shame on swiggy as it is happening on a regular basis,Vivek MT,0,1,2024-02-27 22:34:09
25,Google Play Ptore,https://play.google.com/store/apps/details?id=in.swiggy.android&hl=en&gl=US,Google Play Review,Your order delivery time is taking too long...As compare to what is showing at the ordered time. Not good delivery services. ðŸ˜•,Shakarwal Pooja,0,1,2024-02-27 22:33:21
26,Google Play Ptore,https://play.google.com/store/apps/details?id=in.swiggy.android&hl=en&gl=US,Google Play Review,I had ordered my food from swiggy.As the location was not there in their app so i had written it in the additional address The delivery man refused to come to the additional location and said rude things. Very bad experience. Nor did I get the food nor my money was refunded,Nayara Rehman,0,2,2024-02-27 22:30:54
27,Google Play Ptore,https://play.google.com/store/apps/details?id=in.swiggy.android&hl=en&gl=US,Google Play Review,"Very bad experience with swiggy, have ordered ice cream and I have never received the order nor the refund for not rendering the service. Worst customer support ever, they will just close your tickets without providing proper resolution I would like to rate it as 0 star",padma latha,0,1,2024-02-27 22:27:39
28,Google Play Ptore,https://play.google.com/store/apps/details?id=in.swiggy.android&hl=en&gl=US,Google Play Review,Ok,KARTHIK KARTHIK,0,5,2024-02-27 22:26:08
29,Google Play Ptore,https://play.google.com/store/apps/details?id=in.swiggy.android&hl=en&gl=US,Google Play Review,"I request not to use swiggy app for food this farud app app still my amount not refunded if I call to coustomer service they use bad languages, everytime they deliver ur order late only coustomer care is worst support, please be aware of this type off apps",Deeban kumar,0,1,2024-02-27 22:17:34
30,Google Play Ptore,https://play.google.com/store/apps/details?id=in.swiggy.android&hl=en&gl=US,Google Play Review,"If order any item mistakenly and if you want to cancel it. You have to pay 100% whole price of the item , What the heck is this. Just be careful. You do not know when you next order is going to become last order in swiggy",Kapil Sahu,0,1,2024-02-27 22:07:52
31,Google Play Ptore,https://play.google.com/store/apps/details?id=in.swiggy.android&hl=en&gl=US,Google Play Review,"Not keeping time ,even hungry also will be gone",satya B.tech,0,1,2024-02-27 22:03:38
32,Google Play Ptore,https://play.google.com/store/apps/details?id=in.swiggy.android&hl=en&gl=US,Google Play Review,Good service I like him so much to his service,Khan Patan,0,5,2024-02-27 21:58:28
33,Google Play Ptore,https://play.google.com/store/apps/details?id=in.swiggy.android&hl=en&gl=US,Google Play Review,Sab se ghatiya app hai koi order cancel kardiya to refund nahi karta hai is ko download naa kare,Wasim Shaikh,0,1,2024-02-27 21:55:36
34,Google Play Ptore,https://play.google.com/store/apps/details?id=in.swiggy.android&hl=en&gl=US,Google Play Review,7 o'clock booking order 10 o'clock customer care call inform to your delivery cancel.,Nithya V,0,1,2024-02-27 21:53:46
35,Google Play Ptore,https://play.google.com/store/apps/details?id=in.swiggy.android&hl=en&gl=US,Google Play Review,"App and delivery person are too good in swiggy, issue is with customer support, for more than a month, trying to get back my valid refund, but all swiggy executives do is give another time period to wait, that's how I have waited for 35+ days , still not able to get my money back, trying to resolve an issue with swiggy customer support is impossible, they just mentally harass the customer, so what is the benefit of being a member and a customer for so long...",Soumyajyoti J. Banerjee,0,1,2024-02-27 21:51:18
36,Google Play Ptore,https://play.google.com/store/apps/details?id=in.swiggy.android&hl=en&gl=US,Google Play Review,IT WILL TAKE 1:30 HOUR AND THEN SAY FOOD IS NOT READY,Rajat Painuly,0,2,2024-02-27 21:40:04
37,Google Play Ptore,https://play.google.com/store/apps/details?id=in.swiggy.android&hl=en&gl=US,Google Play Review,Very Bad Service,sanket birajdar,0,1,2024-02-27 21:35:22
38,Google Play Ptore,https://play.google.com/store/apps/details?id=in.swiggy.android&hl=en&gl=US,Google Play Review,Worst ever food delivery platform... Don't go for it.... worst experience... looting people.. for some reason I cancelled order... they have deducted the whole amount.. worst customer support,Imran Baig,0,1,2024-02-27 21:33:25
39,Google Play Ptore,https://play.google.com/store/apps/details?id=in.swiggy.android&hl=en&gl=US,Google Play Review,ðŸ˜žðŸ˜ž.. very bad experience..,Rakesh Khanna,0,1,2024-02-27 21:32:47
